,All stations,All stations,All stations,All stations,All stations
,SH,SE,LT,SUM,ORG
2020-07-02,5.980241646090519,10.652674426236842,286.10708392767265,302.74,302.74
2020-07-03,-1.9971276378601033,10.727803206838644,286.10932443102143,294.84,294.84
2020-07-04,-0.28005148971192284,10.808472249070121,286.1115792406418,296.64,296.64
2020-07-05,1.1322945843621142,10.89385658372538,286.1138488319125,298.14,298.14
2020-07-06,1.0409086419753066,10.982957795896027,286.11613356212865,298.14,298.14
2020-07-07,-0.25308154732510957,11.07464780225581,286.1184337450693,296.94,296.94
2020-07-08,0.6515333004115291,11.167717094641375,286.1207496049471,297.94,297.94
2020-07-09,1.7560160658435962,11.260902477691786,286.1230814564646,299.14,299.14
2020-07-10,1.2616489876542687,11.352921327450417,286.1254296848953,298.74,298.74
2020-07-11,0.3697339259259138,11.442471436378128,286.12779463769596,297.94,297.94
2020-07-12,-0.3183248065844282,11.52814805926198,286.1301767473224,297.34,297.34
2020-07-13,0.5989478189300144,11.608475767886375,286.1325764131836,298.34,298.34
2020-07-14,-0.27696855967076317,11.681974678162703,286.134993881508,297.53999999999996,297.53999999999996
2020-07-15,-1.744656724279821,11.74722710059524,286.13742962368457,296.14,296.14
2020-07-16,-2.4027962469135673,11.802912352355293,286.13988389455824,295.53999999999996,295.53999999999996
2020-07-17,-1.0502124773661876,11.847855637051794,286.1423568403144,296.94,296.94
2020-07-18,-0.08590841152260964,11.881059756614832,286.1448486549078,297.94,297.94
2020-07-19,2.290937679012302,11.901702746316175,286.1473595746715,300.34,300.34
2020-07-20,2.0809490699588764,11.909161137840556,286.14988979220055,300.14,300.14
2020-07-21,0.5845474238682868,11.903013160873968,286.15243941525773,298.64,298.64
2020-07-22,0.7019517366255172,11.883039918857378,286.1550083445171,298.74,298.74
2020-07-23,0.9332040164609339,11.84919944309371,286.15759654044535,298.94,298.94
2020-07-24,0.3781404444444547,11.801654960856922,286.1602045946986,298.34,298.34
2020-07-25,3.43640902057615,11.740757823138324,286.1628331562855,301.34,301.34
2020-07-26,3.3074729876542506,11.667044337904997,286.16548267444074,301.14,301.14
2020-07-27,3.3905476213991506,11.581298698059754,286.1681536805411,301.14,301.14
2020-07-28,1.8845878518517907,11.484565723384605,286.17084642476357,299.53999999999996,299.53999999999996
2020-07-29,3.388326584362119,11.378112345092802,286.1735610705451,300.94,300.94
2020-07-30,-1.299636279835397,11.263338454298264,286.1762978255371,296.14,296.14
2020-07-31,-3.3807711604938504,11.141714373428385,286.17905678706546,293.94,293.94
2020-08-01,-0.05652951440333709,11.014691573192636,286.1818379412107,297.14,297.14
2020-08-02,2.4717486090534635,10.883610077008143,286.18464131393836,299.53999999999996,299.53999999999996
2020-08-03,0.20283720164610486,10.749695694279467,286.1874671040744,297.14,297.14
2020-08-04,-2.8643725432098677,10.614057135388748,286.1903154078211,293.94,293.94
2020-08-05,-2.530892246913538,10.477706092565768,286.19318615434776,294.14,294.14
2020-08-06,-3.3976442469135577,10.341564805792473,286.19607944112107,293.14,293.14
2020-08-07,-4.665491226337451,10.206495739772322,286.19899548656514,291.74,291.74
